2953:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
6412:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
7951:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
9875:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
661:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
7319:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
410:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
160:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
9121:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
5677:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
7982:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
3504:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
1464:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
4922:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
2365:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
5568:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
4298:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
2769:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
9939:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
8292:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
8031:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
5371:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
484:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
2171:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
9343:[6, ['2013_05', '2013_06', '2013_07', '2013_08', '2013_09', '2013_10', '2013_11']]
